id,URL,status,error,response_time,content_size
1,http://diglib.hab.de/edoc/ed000006/startx.htm,200,,0.464,2.93
2,http://www.thomasgray.org/,200,,4.418,30.88
3,http://www.dafyddapgwilym.net/,200,,8.138,5.29
4,http://www.confessio.ie/#,200,,3.628,21.37
5,http://scrineum.unipv.it/LM/home.html,404,Cannot connect to host scrineum.unipv.it:80 ssl:default [Name or service not known],-1.0,-1.0
6,http://bayle-correspondance.univ-st-etienne.fr/?lang=fr,200,,4.237,31.47
7,http://vindolanda.csad.ox.ac.uk/index.shtml,200,,0.846,17.51
8,http://vto2.classics.ox.ac.uk/,404,Cannot connect to host vto2.classics.ox.ac.uk:80 ssl:default [Name or service not known],-1.0,-1.0
9,http://www.berardier.org/,200,,0.552,3.07
10,http://codexsinaiticus.org/en/,200,,4.355,13.47
11,http://www.waddesdon.org.uk/collection/special-projects/st.-aubin,404,,8.108,50.11
12,http://www.catullusonline.org/CatullusOnline/index.php,200,,1.409,723.49
13,http://suprasliensis.obdurodon.org/,200,,0.795,52.12
14,http://www.ehu.es/galicano/?l=en,200,,4.161,36.12
15,http://www.dlv.org.uk/index.html,200,,14.342,11.11
16,http://www.beckettarchive.org/login.html,200,,4.919,14.19
17,http://euripidesscholia.org,200,,3.886,10.11
18,http://omacl.org/Heimskringla/,200,,5.196,70.96
19,https://hridigital.shef.ac.uk/partonopeus/,200,,4.957,2.74
20,http://www.finerollshenry3.org.uk/,200,,7.678,3.15
21,http://www.ub.unibas.ch/bernoulli/index.php/Hauptseite,200,,12.64,15.31
22,http://www.intratext.com/X/ITA0763.HTM,200,,5.392,17.3
23,http://orosius.monumenta.ch/,200,,1.089,0.34
24,http://iospe.kcl.ac.uk/corpus/index.html,200,,6.809,8.52
25,http://entretenida.outofthewings.org/index.html,200,,5.202,8.39
26,http://www.hrionline.ac.uk/strype/,404,Cannot connect to host www.hrionline.ac.uk:80 ssl:default [Name or service not known],-1.0,-1.0
27,http://www.livesandletters.ac.uk/herle/index.html,200,,1.942,5.65
28,http://www.livesandletters.ac.uk/bodley/bodley.html,200,,1.942,6.35
29,http://www.livesandletters.ac.uk/cell/Hooke/Hooke.html,200,,1.942,2.15
30,http://www.livesandletters.ac.uk/wd/index.html,200,,1.943,3.63
31,http://jonathanswiftarchive.org.uk/index.html,200,,6.068,5.39
32,http://www.stgallpriscian.ie,200,,1.52,19.64
33,http://www.nietzschesource.org/,200,,1.978,13.47
34,http://www.asnc.cam.ac.uk/irishglossaries/,200,,4.848,7.71
35,http://www.cems.ox.ac.uk/holinshed/index.shtml,404,,2.847,0.19
36,http://www.mun.ca/alciato/,404,,4.978,26.42
37,http://www.csdl.tamu.edu:8080/veri/index-en.html,404,Cannot connect to host www.csdl.tamu.edu:8080 ssl:default [Name or service not known],-1.0,-1.0
38,http://www.corimu.unisi.it/,200,,5.283,21.14
39,http://www.bensira.org/,200,,1.779,3.57
40,http://www.pizan.lib.ed.ac.uk/,200,,1.838,10.66
41,http://isaw.nyu.edu/publications/inscriptions/campa/,200,,4.704,5.47
42,http://www.danteonline.it/italiano/home_ita.asp,404,'utf-8' codec can't decode byte 0xe0 in position 10272: invalid continuation byte,-1.0,-1.0
43,http://www.darwinproject.ac.uk/,200,,5.119,156.95
44,http://edities.kantl.be/daisne/,200,,6.165,6.77
45,http://www.earlystuartlibels.net/htdocs/index.html,200,,5.365,13.59
46,http://www.folgerdigitaltexts.org/,200,,8.656,133.4
47,https://romantic-circles.org/editions/frankenstein/editions.2009.frankenstein,200,,1.868,45.55
48,http://www.glossae.net,200,,5.645,121.96
49,http://www.heine-portal.de,200,,2.067,2.8
50,http://www.ibsen.uio.no/forside.xhtml,200,,6.147,12.64
51,http://www.marktwainproject.org/homepage.html,404,,5.835,0.19
